Мес.,Ост. долга (р.),Общ. сум. выплат (р.),Упл. проц. (р.),Осн. долг (р.)
1,6185131,150976,150505,471
2,6184660,150976,150493,483
3,6184177,150976,150482,494
4,6183683,150976,150470,506
5,6183177,150976,150457,519
..,..,..,..,..
236,700722,150976,17051,133925
237,566797,150976,13792,137184
238,429613,150976,10454,140522
239,289090,150976,7035,143941
240,145149,150976,3532,147444
Упл. всего (р.),36234240,,,
Общ. перепл. (р.),30046814,,,
