Мес.,Ост. долга (р.),Общ. сум. выплат (р.),Упл. проц. (р.),Осн. долг (р.)
1,6185131,150531,150505,26
2,6185105,150531,150504,27
3,6185078,150531,150504,27
4,6185051,150531,150503,28
5,6185023,150531,150502,29
..,..,..,..,..
356,717789,150531,17466,133065
357,584724,150531,14228,136303
358,448422,150531,10912,139619
359,308802,150531,7514,143017
360,165785,150531,4034,146497
Упл. всего (р.),54191160,,,
Общ. перепл. (р.),48025317,,,
